Exercise,Skill Level,Muscle,Equipment,Video Link
Band Hip Abductions,Beginner,Abductors,Resistance Band,https://www.youtube.com/watch?v=5Kgv6-hcpos
Clam,Beginner,Abductors,None,https://youtu.be/MfqwlbILqaU
Fire Hydrant,Beginner,Abductors,None,https://youtu.be/DVHJPqkYYho
Floor Abductor,Beginner,Abductors,None,https://youtu.be/j8tQcANdTaw
Hip Abduction Cable,Beginner,Abductors,Cable,https://youtu.be/HtkyDFJxbao
Hip Circles (Prone),Beginner,Abductors,None,https://youtu.be/5xpyEHUf3dY
Iliotibial Tract-Smr,Intermediate,Abductors,Foam Roller,https://youtu.be/Ncl0oa4pD-8
Side Leg Raise,Beginner,Abductors,None,https://youtu.be/sx55y_06YYc
Stability Ball Banded Pull-apart Pulses,Beginner,Abductors,"Elastic Bands, Stability Ball",https://youtu.be/gVeZ5-WLWXs
Standing Hip Circles,Beginner,Abductors,None,https://youtu.be/DS1WA_wEFQs
Thigh Abductor,Beginner,Abductors,Machine,https://youtu.be/V1xbVC9_ZBA
Windmills,Intermediate,Abductors,None,https://youtu.be/AC_KsWxaKHY
3/4 Sit-Up,Beginner,Abs,None,https://www.youtube.com/watch?v=pAMpwBOSTlQ
Ab Rollouts,Intermediate,Abs,Ab Wheel,https://youtu.be/twUBthC-v1U
Alternate Heel Touchers,Beginner,Abs,None,https://www.youtube.com/watch?v=V0AEFh81_n4
Alternating Abdominal Kick,Intermediate,Abs,None,https://www.youtube.com/watch?v=rNA0AqWaGJQ
Alternating Cable Twist,Beginner,Abs,Cable,https://youtu.be/j26ylPyE2Ek
Angled Side Bridge,Beginner,Abs,None,https://youtu.be/m-Upd987uaw
Ball Side Bend,Intermediate,Abs,Stability Ball,https://youtu.be/NPfM8evCyi8
Banded Hip Hinge Over the Shoulder Pull,Beginner,Abs,Resistance Band,https://youtu.be/ugbVrAP-qz4
Barbell Ab Rollout - On Knees,Advanced,Abs,Barbell,https://www.youtube.com/watch?v=CjbUVsi8uuU
Barbell Push Crunch,Intermediate,Abs,Barbell,https://youtu.be/5sHKsmkULAg
Barbell Push Sit-up,Advanced,Abs,Barbell,https://youtu.be/PRSGOciurac
Barbell Rollout From Bench,Intermediate,Abs,Barbell,https://youtu.be/_zaq7AAYVKg
Bent Knee Lying Twist,Intermediate,Abs,None,https://youtu.be/NSZ6YAm9L2w
Bent Knee Side Plank,Beginner,Abs,None,https://youtu.be/2T0jbHGvIO0
Bicycle Crunches,Beginner,Abs,None,https://www.youtube.com/watch?v=mgrEuFPj6-o
Bird Dog,Intermediate,Abs,None,https://www.youtube.com/watch?v=ojKxXbg7Tg8
Bosu Ball Cable Crunch With Side Bends,Beginner,Abs,"Bosu, Cable",https://youtu.be/B1knh5GGXgc
Butt-Ups,Beginner,Abs,None,https://youtu.be/-CrwvbB0UeE
Cable Circles,Intermediate,Abs,Cable,https://youtu.be/aPAzXMVHeaA
Cable Kneeling Crunch,Beginner,Abs,Cable,https://youtu.be/6OQ5Lxc6nDg
Cable Lying Crunch Stability Ball,Beginner,Abs,Cable,https://youtu.be/c8kkmzxs1ek
Cable Lying Leg Hip Raise,Intermediate,Abs,Cable,https://youtu.be/0zsSMipg3KM
Cable Oblique Twist,Beginner,Abs,Cable,https://youtu.be/OaQ5v7f6Hw0
Cable Reverse Crunch,Beginner,Abs,Cable,https://youtu.be/XC744xVzgwg
Cable Seated Crunch,Beginner,Abs,Cable,https://youtu.be/CGP-af-lmB0
Cable Standing Crunch,Beginner,Abs,Cable,https://youtu.be/s1JZsGjUXZ8
Cocoons,Beginner,Abs,None,https://youtu.be/50R5uq7Vwss
Crunch - Hands Overhead,Beginner,Abs,None,https://youtu.be/JZopIwgE2UA
Crunch Arms Crossed,Beginner,Abs,None,https://youtu.be/m8DOcBmFMwY
Crunch Arms Down,Beginner,Abs,None,https://youtu.be/D_K4TcZkoAg
Crunch Up,Beginner,Abs,None,https://www.youtube.com/watch?v=nRpbk5-urU8
Dead Bug,Beginner,Abs,None,https://www.youtube.com/watch?v=sY4-XeaSqiE
Decline Oblique Twist,Beginner,Abs,None,https://youtu.be/DK_G2jn7sWI
Decline Sit-up,Intermediate,Abs,Bench,https://youtu.be/k5Si4-2mkr8
Dumbbell 45 Degree Side Bend,Beginner,Abs,Dumbbells,https://youtu.be/1oSwA0uwBbo
Dumbbell Push Crunch,Intermediate,Abs,Dumbbells,https://www.youtube.com/watch?v=PyVlrm_8trk
Dumbbell Push Sit-up,Intermediate,Abs,Dumbbells,https://youtu.be/kYrs4OHygKk
Dumbbell Toe Touch Crunch,Intermediate,Abs,Dumbbells,https://youtu.be/ovwPM8SdKgI
